board,team,round,player,position,adp,nfl_team
2,T10,5,RJ Harvey,RB,66.4,Denver Broncos
2,T10,6,Parker Washington,WR,72.9,Jacksonville Jaguars
2,T11,1,James Cook,RB,11.0,Buffalo Bills
2,T11,2,Saquon Barkley,RB,16.1,Philadelphia Eagles
2,T11,3,Ladd McConkey,WR,38.6,Los Angeles Chargers
2,T11,4,DeVonta Smith,WR,41.3,Philadelphia Eagles
2,T11,5,Carnell Tate,WR,56.6,
2,T11,6,Alec Pierce,WR,68.9,Indianapolis Colts
2,T12,1,De'Von Achane,RB,13.6,Miami Dolphins
2,T12,2,Omarion Hampton,RB,15.3,Los Angeles Chargers
2,T12,3,Garrett Wilson,WR,36.5,New York Jets
2,T12,4,Emeka Egbuka,WR,39.1,Tampa Bay Buccaneers
2,T12,5,Christian Watson,WR,58.8,Green Bay Packers
2,T12,6,Drake Maye,QB,72.0,New England Patriots
3,T1,1,Bijan Robinson,RB,1.4,Atlanta Falcons
3,T1,2,Chris Olave,WR,27.1,New Orleans Saints
3,T1,3,Travis Etienne Jr.,RB,30.2,New Orleans Saints
3,T1,4,Quinshon Judkins,RB,54.0,Cleveland Browns
3,T1,5,Jayden Daniels,QB,62.8,Washington Commanders
3,T1,6,Harold Fannin,TE,80.1,Cleveland Browns
3,T2,1,Jahmyr Gibbs,RB,1.8,Detroit Lions
3,T2,2,George Pickens,WR,23.9,Dallas Cowboys
3,T2,3,A.J. Brown,WR,29.3,Philadelphia Eagles
3,T2,4,Colston Loveland,TE,46.2,Chicago Bears
3,T2,5,David Montgomery,RB,57.1,Houston Texans
3,T2,6,Justin Herbert,QB,82.5,Los Angeles Chargers
3,T3,1,Ja'Marr Chase,WR,3.3,Cincinnati Bengals
3,T3,2,Nico Collins,WR,24.3,Houston Texans
3,T3,3,Josh Allen,QB,29.1,Buffalo Bills
3,T3,4,Lamar Jackson,QB,51.2,Baltimore Ravens
3,T3,5,Christian Watson,WR,58.8,Green Bay Packers
3,T3,6,Courtland Sutton,WR,74.8,Denver Broncos
3,T4,1,Puka Nacua,WR,4.0,Los Angeles Rams
3,T4,2,Chase Brown,RB,21.9,Cincinnati Bengals
3,T4,3,Breece Hall,RB,32.1,New York Jets
3,T4,4,D.J. Moore,WR,54.0,Buffalo Bills
3,T4,5,Makai Lemon,WR,63.5,
3,T4,6,Ricky Pearsall,WR,85.4,San Francisco 49ers
3,T5,1,Jaxon Smith-Njigba,WR,5.1,Seattle Seahawks
3,T5,2,Malik Nabers,WR,17.9,New York Giants
3,T5,3,Kyren Williams,RB,34.2,Los Angeles Rams
3,T5,4,TreVeyon Henderson,RB,48.3,New England Patriots
3,T5,5,Marvin Harrison,WR,64.8,Arizona Cardinals
3,T5,6,DK Metcalf,WR,77.3,Pittsburgh Steelers
3,T6,1,Jonathan Taylor,RB,6.3,Indianapolis Colts
3,T6,2,Drake London,WR,19.6,Atlanta Falcons
3,T6,3,Tee Higgins,WR,33.1,Cincinnati Bengals
3,T6,4,Mike Evans,WR,49.5,San Francisco 49ers
3,T6,5,Cam Skattebo,RB,56.3,New York Giants
3,T6,6,Caleb Williams,QB,68.8,Chicago Bears
3,T7,1,Christian McCaffrey,RB,7.5,San Francisco 49ers
3,T7,2,Kenneth Walker III,RB,18.7,Kansas City Chiefs
3,T7,3,Tetairoa McMillan,WR,31.6,Carolina Panthers
3,T7,4,Zay Flowers,WR,40.8,Baltimore Ravens
3,T7,5,Terry McLaurin,WR,47.2,Washington Commanders
3,T7,6,Parker Washington,WR,72.9,Jacksonville Jaguars
3,T8,1,CeeDee Lamb,WR,8.6,Dallas Cowboys
3,T8,2,Derrick Henry,RB,20.4,Baltimore Ravens
3,T8,3,Josh Jacobs,RB,27.2,Green Bay Packers
3,T8,4,Luther Burden,WR,42.2,Chicago Bears
3,T8,5,Brian Thomas,WR,61.7,Jacksonville Jaguars
3,T8,6,Michael Wilson,WR,77.6,Arizona Cardinals
3,T9,1,Amon-Ra St. Brown,WR,8.9,Detroit Lions
3,T9,2,Saquon Barkley,RB,16.1,Philadelphia Eagles
3,T9,3,Garrett Wilson,WR,36.5,New York Jets
3,T9,4,Bhayshul Tuten,RB,56.2,Jacksonville Jaguars
3,T9,5,Tyler Warren,TE,68.0,Indianapolis Colts
3,T9,6,Chuba Hubbard,RB,73.8,Carolina Panthers
3,T10,1,Justin Jefferson,WR,10.0,Minnesota Vikings
3,T10,2,Jeremiyah Love,RB,15.6,
3,T10,3,Rashee Rice,WR,34.9,Kansas City Chiefs
3,T10,4,Jaylen Waddle,WR,47.2,Denver Broncos
3,T10,5,Carnell Tate,WR,56.6,
3,T10,6,D'Andre Swift,RB,60.8,Chicago Bears
3,T11,1,Ashton Jeanty,RB,11.9,Las Vegas Raiders
3,T11,2,Omarion Hampton,RB,15.3,Los Angeles Chargers
3,T11,3,Bucky Irving,RB,37.2,Tampa Bay Buccaneers
3,T11,4,Javonte Williams,RB,40.1,Dallas Cowboys
3,T11,5,Joe Burrow,QB,64.8,Cincinnati Bengals
3,T11,6,Drake Maye,QB,72.0,New England Patriots
3,T12,1,James Cook,RB,11.0,Buffalo Bills
3,T12,2,De'Von Achane,RB,13.6,Miami Dolphins
3,T12,3,Emeka Egbuka,WR,39.1,Tampa Bay Buccaneers
3,T12,4,DeVonta Smith,WR,41.3,Philadelphia Eagles
3,T12,5,Jalen Hurts,QB,69.7,Philadelphia Eagles
3,T12,6,Jordyn Tyson,WR,70.7,
4,T1,1,Bijan Robinson,RB,1.4,Atlanta Falcons
4,T1,2,Nico Collins,WR,24.3,Houston Texans
4,T1,3,Josh Jacobs,RB,27.2,Green Bay Packers
4,T1,4,Mike Evans,WR,49.5,San Francisco 49ers
4,T1,5,Carnell Tate,WR,56.6,
4,T1,6,Justin Herbert,QB,82.5,Los Angeles Chargers
4,T2,1,Jahmyr Gibbs,RB,1.8,Detroit Lions
4,T2,2,Chris Olave,WR,27.1,New Orleans Saints
4,T2,3,Josh Allen,QB,29.1,Buffalo Bills
4,T2,4,Luther Burden,WR,42.2,Chicago Bears
4,T2,5,Cam Skattebo,RB,56.3,New York Giants
4,T2,6,Rhamondre Stevenson,RB,78.8,New England Patriots
4,T3,1,Ja'Marr Chase,WR,3.3,Cincinnati Bengals
4,T3,2,George Pickens,WR,23.9,Dallas Cowboys
4,T3,3,Travis Etienne Jr.,RB,30.2,New Orleans Saints
4,T3,4,Lamar Jackson,QB,51.2,Baltimore Ravens
4,T3,5,Rome Odunze,WR,52.9,Chicago Bears
4,T3,6,Michael Wilson,WR,77.6,Arizona Cardinals
4,T4,1,Puka Nacua,WR,4.0,Los Angeles Rams
4,T4,2,Drake London,WR,19.6,Atlanta Falcons
4,T4,3,Tee Higgins,WR,33.1,Cincinnati Bengals
4,T4,4,Jaylen Waddle,WR,47.2,Denver Broncos
4,T4,5,Bhayshul Tuten,RB,56.2,Jacksonville Jaguars
4,T4,6,Romeo Doubs,WR,94.8,New England Patriots
4,T5,1,Jaxon Smith-Njigba,WR,5.1,Seattle Seahawks
4,T5,2,Chase Brown,RB,21.9,Cincinnati Bengals
4,T5,3,Bucky Irving,RB,37.2,Tampa Bay Buccaneers
4,T5,4,D.J. Moore,WR,54.0,Buffalo Bills
4,T5,5,Quinshon Judkins,RB,54.0,Cleveland Browns
4,T5,6,Harold Fannin,TE,80.1,Cleveland Browns
4,T6,1,Jonathan Taylor,RB,6.3,Indianapolis Colts
4,T6,2,Brock Bowers,TE,23.3,Las Vegas Raiders
4,T6,3,Kyren Williams,RB,34.2,Los Angeles Rams
4,T6,4,Terry McLaurin,WR,47.2,Washington Commanders
4,T6,5,Brian Thomas,WR,61.7,Jacksonville Jaguars
4,T6,6,DK Metcalf,WR,77.3,Pittsburgh Steelers
4,T7,1,Christian McCaffrey,RB,7.5,San Francisco 49ers
4,T7,2,Trey McBride,TE,18.8,Arizona Cardinals
4,T7,3,Javonte Williams,RB,40.1,Dallas Cowboys
4,T7,4,Davante Adams,WR,49.1,Los Angeles Rams
4,T7,5,David Montgomery,RB,57.1,Houston Texans
4,T7,6,Marvin Harrison,WR,64.8,Arizona Cardinals
4,T8,1,CeeDee Lamb,WR,8.6,Dallas Cowboys
4,T8,2,Derrick Henry,RB,20.4,Baltimore Ravens
4,T8,3,Garrett Wilson,WR,36.5,New York Jets
4,T8,4,Emeka Egbuka,WR,39.1,Tampa Bay Buccaneers
4,T8,5,Jayden Daniels,QB,62.8,Washington Commanders
4,T8,6,Alec Pierce,WR,68.9,Indianapolis Colts
4,T9,1,Amon-Ra St. Brown,WR,8.9,Detroit Lions
4,T9,2,Kenneth Walker III,RB,18.7,Kansas City Chiefs
4,T9,3,Tetairoa McMillan,WR,31.6,Carolina Panthers
4,T9,4,Jameson Williams,WR,45.2,Detroit Lions
4,T9,5,RJ Harvey,RB,66.4,Denver Broncos
4,T9,6,Drake Maye,QB,72.0,New England Patriots
4,T10,1,James Cook,RB,11.0,Buffalo Bills
4,T10,2,Malik Nabers,WR,17.9,New York Giants
4,T10,3,Zay Flowers,WR,40.8,Baltimore Ravens
4,T10,4,DeVonta Smith,WR,41.3,Philadelphia Eagles
4,T10,5,Tyler Warren,TE,68.0,Indianapolis Colts
4,T10,6,Jalen Hurts,QB,69.7,Philadelphia Eagles
4,T11,1,Ashton Jeanty,RB,11.9,Las Vegas Raiders
4,T11,2,Omarion Hampton,RB,15.3,Los Angeles Chargers
4,T11,3,Ladd McConkey,WR,38.6,Los Angeles Chargers
4,T11,4,TreVeyon Henderson,RB,48.3,New England Patriots
4,T11,5,D'Andre Swift,RB,60.8,Chicago Bears
4,T11,6,Courtland Sutton,WR,74.8,Denver Broncos
4,T12,1,De'Von Achane,RB,13.6,Miami Dolphins
4,T12,2,Saquon Barkley,RB,16.1,Philadelphia Eagles
4,T12,3,Rashee Rice,WR,34.9,Kansas City Chiefs
4,T12,4,Colston Loveland,TE,46.2,Chicago Bears
4,T12,5,Caleb Williams,QB,68.8,Chicago Bears
4,T12,6,Chuba Hubbard,RB,73.8,Carolina Panthers
5,T1,1,Bijan Robinson,RB,1.4,Atlanta Falcons
5,T1,2,Brock Bowers,TE,23.3,Las Vegas Raiders
5,T1,3,Chris Olave,WR,27.1,New Orleans Saints
5,T1,4,Quinshon Judkins,RB,54.0,Cleveland Browns
5,T1,5,Carnell Tate,WR,56.6,
