overall_pick,round,team,player,position,nfl_team,adp,sigma,pick_prob,top1,top2,top3
62,6,11,Tyler Warren,TE,Indianapolis Colts,68.0,8.30,0.0913,"Jayden Daniels (0.1179, ADP 62.8)","Joe Burrow (0.1114, ADP 64.8)","RJ Harvey (0.1024, ADP 66.4)"
63,6,10,Parker Washington,WR,Jacksonville Jaguars,72.9,8.79,0.0621,"Jayden Daniels (0.1170, ADP 62.8)","Joe Burrow (0.1141, ADP 64.8)","RJ Harvey (0.1073, ADP 66.4)"
64,6,9,Jayden Daniels,QB,Washington Commanders,62.8,7.78,0.1118,"Joe Burrow (0.1125, ADP 64.8)","Jayden Daniels (0.1118, ADP 62.8)","RJ Harvey (0.1083, ADP 66.4)"
65,6,8,Patrick Mahomes,QB,Kansas City Chiefs,89.4,10.44,0.0075,"Joe Burrow (0.1147, ADP 64.8)","RJ Harvey (0.1130, ADP 66.4)","Caleb Williams (0.1035, ADP 68.8)"
66,6,7,Drake Maye,QB,New England Patriots,72.0,8.70,0.0828,"RJ Harvey (0.1049, ADP 66.4)","Joe Burrow (0.1039, ADP 64.8)","Caleb Williams (0.0994, ADP 68.8)"
67,6,6,Dak Prescott,QB,Dallas Cowboys,80.8,9.58,0.0371,"RJ Harvey (0.1045, ADP 66.4)","Caleb Williams (0.1024, ADP 68.8)","Joe Burrow (0.1009, ADP 64.8)"
68,6,5,Joe Burrow,QB,Cincinnati Bengals,64.8,7.98,0.0927,"Caleb Williams (0.1000, ADP 68.8)","RJ Harvey (0.0985, ADP 66.4)","Jalen Hurts (0.0984, ADP 69.7)"
69,6,4,DK Metcalf,WR,Pittsburgh Steelers,77.3,9.23,0.0678,"Caleb Williams (0.1015, ADP 68.8)","Jalen Hurts (0.1012, ADP 69.7)","RJ Harvey (0.0965, ADP 66.4)"
70,6,3,Michael Wilson,WR,Arizona Cardinals,77.6,9.26,0.0718,"Jalen Hurts (0.1005, ADP 69.7)","Caleb Williams (0.0996, ADP 68.8)","Chuba Hubbard (0.0918, ADP 73.8)"
71,6,2,Brock Purdy,QB,San Francisco 49ers,94.5,10.95,0.0101,"Jalen Hurts (0.0996, ADP 69.7)","Caleb Williams (0.0973, ADP 68.8)","Chuba Hubbard (0.0959, ADP 73.8)"
72,6,1,Rhamondre Stevenson,RB,New England Patriots,78.8,9.38,0.0732,"Chuba Hubbard (0.0932, ADP 73.8)","Jalen Hurts (0.0917, ADP 69.7)","Courtland Sutton (0.0906, ADP 74.8)"
